Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-B,2,0,P,Hi,,
CI-B,2,7.6,C,Let's begin,,
CI-B,2,20.7,P,let's go ,,
CI-B,2,21,C,The megaband module goes in locker Z. Top shelf ,,
CI-B,2,76.37,P,what is megaband,WHQ,Query: Object Identification
CI-B,2,86.19,C,It is a type of modeul ,,
CI-B,2,91.14,C,module ,,
CI-B,2,144.35,P,are you a real person? ,YNQ,Other
CI-B,2,152.65,C,Yes,,
CI-B,2,158.87,P,"oh, great ",Statement,
CI-B,2,170.69,P,what color is megaband,WHQ,Query: Object Description: Color
CI-B,2,187.87,C,All modules are the same dark color,,
CI-B,2,212.96,C,"Excuse me, they're light",,
CI-B,2,260.04,C,Can I get answer any questions for you?,,
CI-B,2,260.29,P,"yes, trying to figure out the correct item ",Statement,
CI-B,2,291.01,P,does it have blue triangle ,YNQ,"Confirm Object by Feature: Color, Symbol"
CI-B,2,309.86,C,"No, the megaband module has a square symbol ",,
CI-B,2,320.25,P,blue square?,YNQ,"Confirm Object by Feature: Color, Symbol"
CI-B,2,325.38,C,Yes,,
CI-B,2,328.93,P,great ,Statement,
CI-B,2,338.79,P,what color is the Z,,
CI-B,2,345.55,C,what color is the Z locker?,WHQ,Query: Object Description: Color
CI-B,2,347.31,C,Locker Z is red ,,
CI-B,2,357.97,P,how to open the red locker?,WHQ,Query: Request Teaching: Target
CI-B,2,368.85,C,"To open a locker, use the nearby panel. insert the bypass and flip the switch to the On position",,
CI-B,2,395.43,P,what is the bypass ,WHQ,Query: Object Identification
CI-B,2,404.93,C,The bypass is a small block that should be near the lockers. ,,
CI-B,2,503.33,P,"got it, i'm on my way ",Statement,
CI-B,2,511.73,C,Great ,,
CI-B,2,514.71,P,i think you might have an issue here ,Statement,
CI-B,2,521.43,P,"the item that is on the pedestal near the megaband has the blue rectangle, but in the inventory it's triangle",Statement,
CI-B,2,592.58,C,"Ah yes, try to use other features of the object to pick the correct one ",,
CI-B,2,596.55,C,"Yes, it does ",,
CI-B,2,626.03,P,"got it, megaband in on top shelf red z locker ",Statement,
CI-B,2,635.41,C,Great ,,
CI-B,2,641.09,C,Move to the Delta platform ,,
CI-B,2,641.49,P,and now i understand why i need checkboxes next to the item,Statement,
CI-B,2,708.79,C,what item should i pick next,WHQ,Query: Goal-Related
CI-B,2,720.37,C,Move to the delta platform ,,
CI-B,2,722.36,C,Pick up the optimized synthesizer,,
CI-B,2,738.85,P,what color is it?,WHQ,Query: Object Description: Color
CI-B,2,750.09,C,The optimized synthesizer is blue,,
CI-B,2,779.41,P,does it look like a voltage meter? ,YNQ,Confirm Object by Feature: Comparison
CI-B,2,784.55,C,Yes ,,
CI-B,2,788.99,P,got it ,Statement,
CI-B,2,792.09,C,Move to the primary cabinet,,
CI-B,2,821.9735,P,primary cabinet is under c25?,YNQ,Confirm Object by Location: Landmark
CI-B,2,832.1309,C,"No, that's the secondary cabinet",,
CI-B,2,875.4735,P,so i guess primary is near the X99,Statement,
CI-B,2,879.4945,C,Place the optimized synthesizer on shelf B,,
