Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-C,15,14.06,C,OK ,,
CI-C,15,15.13,C,You'll need to locate and put away 6 different objects. I can help you by answering any questions you might have. Let's begin. ,,
CI-C,15,30.88,C,Move to the primary cabinet ,,
CI-C,15,69.11,P,ok ,Statement,
CI-C,15,81.42,C,"OK, by the way I can't see your screen so just let me know when you do stuff ",,
CI-C,15,88.56,C,Pick up the tesla capacitor from shelf A ,,
CI-C,15,110.97,P,is it gray with black polka dots? ,YNQ,"Confirm Object by Feature: Color, Pattern"
CI-C,15,128.45,C,"No, it is green ",,
CI-C,15,196.79,C,Can I answer any questions for you?,,
CI-C,15,269.44,C,Feel free to ask me any questions ,,
CI-C,15,288.19,P,I am looking for it. I do not see anything green in the main cabinet ,Statement,
CI-C,15,295.53,C,Perhaps you are at the wrong cabinet ,,
CI-C,15,366.31,P,I cannot open this cabinet ,Statement,
CI-C,15,370.13,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. There is a different order depending on which side you would like to open.",,
CI-C,15,449.88,C,Can I answer any questions for you? ,,
CI-C,15,529.95,P,do you know what color key cards I need?,YNQ,Other
CI-C,15,535.04,C,yes,,
CI-C,15,539.71,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
CI-C,15,544.12,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
CI-C,15,593.76,C,Got it?,,
CI-C,15,623.47,P,"yes, I have it now ",Statement,
CI-C,15,638.15,C,great,,
CI-C,15,629.76,C,Move to the secondary cabinet ,,
CI-C,15,666.35,P,is there a certain shelf or is the bottom shelf ok? ,YNQ,Confirm Object by Location: Spatial
CI-C,15,673.30,C,Place the tesla capacitor on shelf B. ,,
CI-C,15,689.15,P,ok done ,Statement,
CI-C,15,703.09,C,great ,,
CI-C,15,704.7872,C,Move to the primary cabinet,,
CI-C,15,754.8928,P,ok,Statement,
CI-C,15,756.2002,C,Pick up the temporal emitter from shelf C,,
CI-C,15,791.3328,P,is shelf c on the bottom right?,YNQ,Confirm Object by Location: Spatial
CI-C,15,795.2529,C,bottom left,,
CI-C,15,804.3128,P,ok,Statement,
CI-C,15,807.2584,C,Move to the secondary cabinet,,
CI-C,15,832.7543,C,Place the temporal emitter on shelf D,,
CI-C,15,917.3328,P,what shlef,WHQ,Query: Object Identification
CI-C,15,927.8229,C,bottom right,,
CI-C,15,967.5961,C,got it?,,
CI-C,15,1003.253,P,yes but there was something there. where should I place the thing that was there?,Statement,
CI-C,15,1019.673,C,that is not needed for the task,,
CI-C,15,1026.493,P,ok,Statement,
CI-C,15,1032.65,C,ok next,,
CI-C,15,1033.946,C,"The megaband module goes in locker Z, top shelf",,
CI-C,15,1050.833,P,where is that?,WHQ,Query: Location-Related
