Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,24,28,C,intro message,,
RI-C,24,67,P,what's the yellow calculator called?,WHQ,Query: Object Naming
RI-C,24,85,C,that is the galvanic synthesizer,,
RI-C,24,93,P,what is the red calculator called?,WHQ,Query: Object Naming
RI-C,24,106,C,modular synthesizer,,
RI-C,24,113,P,what's the blue calculator called?,WHQ,Query: Object Naming
RI-C,24,121,C,optimized synthesizer,,
RI-C,24,151,P,are any of those 3 items one of the 6 I need to place in specific areas?,WHQ,Query: Goal-Related
RI-C,24,161,C,"yes, the optimized synthesizer",,
RI-C,24,182.38,P,what is the large green canister called?,WHQ,Query: Object Naming
RI-C,24,199.621,C,tesla capacitor,,
RI-C,24,228.72,P,and any of the 3 capacitors one of the 6 objects I need to place?,WHQ,Query: Goal-Related
RI-C,24,240.1401,C,"yes, the tesla capacitor",,
RI-C,24,253.84,P,that the the only one of the 3 capacitors?,WHQ,Query: Goal-Related
RI-C,24,258.1422,C,yes,,
RI-C,24,287.46,P,what is the long tube with the yellopw ends called?,WHQ,Query: Object Naming
RI-C,24,309.0599,P,"yellow, sorry",,
RI-C,24,313.3286,C,cryo calibrator,,
RI-C,24,343.8599,P,"how many of the caliubrators do I need to place in a specific area, and what are there names?",WHQ,Query: Goal-Related
RI-C,24,350.9399,P,calibrators*,,
RI-C,24,356.8644,C,"only one, the mechano calibrator",,
RI-C,24,380.0599,P,what is the name of the calibrato with the green ends?,WHQ,Query: Object Naming
RI-C,24,394.8852,C,delta calibrator,,
RI-C,24,444.46,P,"what is the name of the rex box with an ""X"" in the center",WHQ,Query: Object Naming
RI-C,24,450.58,P,"sorry, the red* box",,
RI-C,24,454.0784,C,organic emitter,,
RI-C,24,468.6799,P,which emitter is one of the 6 items I need to place?,WHQ,Query: Goal-Related
RI-C,24,475.326,C,the temporal emitter,,
RI-C,24,496.84,P,what is the name of the red box with a circle in the middle?,WHQ,Query: Object Naming
RI-C,24,502.9409,C,temporal emitter,,
RI-C,24,537.24,P,what is the name of the device with a white circle in the top left?,WHQ,Query: Object Naming
RI-C,24,559.228,C,please describe it a bit more,,
RI-C,24,590.6199,P,"white circle in the top left, number pad in the middle, looks to have a handle on the right side",Statement,
RI-C,24,604.0636,C,that's the quantum optimizer,,
RI-C,24,625.4,P,which of the opitimizers needs to be placed in a specific location?,WHQ,Query: Goal-Related
RI-C,24,653.4019,C,the sonic optimizer,,
RI-C,24,680.22,P,which of the opimizers has dots all over it?,WHQ,Query: Object Naming
RI-C,24,709.2538,C,the advanced optimizer,,
RI-C,24,777.3799,P,"what is the name of the object shaped like a ""C"" with vertical stripes and a blue square in the top left?",WHQ,Query: Object Naming
RI-C,24,807.6398,C,megaband module,,
RI-C,24,827.98,P,which module needs to be placed in a specific location?,WHQ,Query: Goal-Related
RI-C,24,850.3016,C,megaband module,,
RI-C,24,876.64,P,where does the megaband module go?,WHQ,Query: Location-Related
RI-C,24,915.3712,C,"The megaband module goes in locker Z, top shelf",,
RI-C,24,953.28,P,what color is locker z?,WHQ,Query: Object Description: Color
RI-C,24,958.1239,C,red,,
RI-C,24,971.72,P,how can I open locker z?,WHQ,Query: Request Teaching: Target
